"","site.code","session","site.accession","subplot","rep","tree.count","value","species","measure"
"1","DAVO","1","DAVO001","1","DAVO001-1",43,456.5,"BFF","N"
"2","DAVO","1","DAVO001","2","DAVO001-2",13,146.5,"BFF","N"
"3","DAVO","1","DAVO001","3","DAVO001-3",20,111.5,"BFF","N"
"4","DAVO","1","DAVO001","4","DAVO001-4",10,0,"BFF","N"
"5","DAVO","1","DAVO001","5","DAVO001-5",37,0,"BFF","N"
"6","DAVO","1","DAVO001","6","DAVO001-6",16,0,"BFF","N"
"7","DAVO","1","DAVO001","7","DAVO001-7",20,0,"BFF","N"
"8","DAVO","1","DAVO001","8","DAVO001-8",15,0,"BFF","N"
"9","DAVO","1","DAVO001","9","DAVO001-9",17,0,"BFF","N"
"10","DAVO","1","DAVO001","10","DAVO001-10",75,0,"BFF","N"
"11","DAVO","2","DAVO002","1","DAVO002-1",43,79,"BFF","N"
"12","DAVO","2","DAVO002","2","DAVO002-2",13,0,"BFF","N"
"13","DAVO","2","DAVO002","3","DAVO002-3",22,0,"BFF","N"
"14","DAVO","2","DAVO002","4","DAVO002-4",10,0,"BFF","N"
"15","DAVO","2","DAVO002","5","DAVO002-5",37,0,"BFF","N"
"16","DAVO","2","DAVO002","6","DAVO002-6",16,0,"BFF","N"
"17","DAVO","2","DAVO002","7","DAVO002-7",20,0,"BFF","N"
"18","DAVO","2","DAVO002","8","DAVO002-8",15,0,"BFF","N"
"19","DAVO","2","DAVO002","9","DAVO002-9",17,0,"BFF","N"
"20","DAVO","2","DAVO002","10","DAVO002-10",75,0,"BFF","N"
"21","DAVO","3","DAVO003","1","DAVO003-1",43,0,"BFF","N"
"22","DAVO","3","DAVO003","2","DAVO003-2",13,0,"BFF","N"
"23","DAVO","3","DAVO003","3","DAVO003-3",22,0,"BFF","N"
"24","DAVO","3","DAVO003","4","DAVO003-4",10,0,"BFF","N"
"25","DAVO","3","DAVO003","5","DAVO003-5",37,0,"BFF","N"
"26","DAVO","3","DAVO003","6","DAVO003-6",16,0,"BFF","N"
"27","DAVO","3","DAVO003","7","DAVO003-7",20,0,"BFF","N"
"28","DAVO","3","DAVO003","8","DAVO003-8",15,0,"BFF","N"
"29","DAVO","3","DAVO003","9","DAVO003-9",17,0,"BFF","N"
"30","DAVO","3","DAVO003","10","DAVO003-10",75,0,"BFF","N"
"31","DAVO","4","DAVO004","1","DAVO004-1",43,37,"BFF","N"
"32","DAVO","4","DAVO004","2","DAVO004-2",13,0,"BFF","N"
