"","site.code","session","site.accession","subplot","rep","species","N","occ","density","max.tree","mean.tree","mode.tree","sd.tree","Liqr.tree","Uiqr.tree","mean.occtree","mode.occtree","sd.occtree","Liqr.occtree","Uiqr.occtree","tree.count"
"1","DAVO","1","DAVO001","1","DAVO001-1","BFF",456.5,18,1.14125,75.5,10.6162790697674,0,17.5675015194122,0,15.5,25.3611111111111,35.5,19.1448085080645,6.125,35.5,43
"2","DAVO","1","DAVO001","2","DAVO001-2","BFF",146.5,3,0.36625,75.5,11.2692307692308,0,23.3983754640995,0,0,48.8333333333333,35.5,23.094010767585,35.5,55.5,13
"3","DAVO","1","DAVO001","3","DAVO001-3","BFF",111.5,8,0.27875,35.5,5.575,0,10.9883610673916,0,4.25,13.9375,3,13.9474460027634,3,20.5,20
"4","DAVO","1","DAVO001","4","DAVO001-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"5","DAVO","1","DAVO001","5","DAVO001-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"6","DAVO","1","DAVO001","6","DAVO001-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"7","DAVO","1","DAVO001","7","DAVO001-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"8","DAVO","1","DAVO001","8","DAVO001-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"9","DAVO","1","DAVO001","9","DAVO001-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"10","DAVO","1","DAVO001","10","DAVO001-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"11","DAVO","2","DAVO002","1","DAVO002-1","BFF",79,8,0.1975,35.5,1.83720930232558,0,6.01458636727707,0,0,9.875,3,11.2400749870402,3,9.875,43
"12","DAVO","2","DAVO002","2","DAVO002-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"13","DAVO","2","DAVO002","3","DAVO002-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"14","DAVO","2","DAVO002","4","DAVO002-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"15","DAVO","2","DAVO002","5","DAVO002-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"16","DAVO","2","DAVO002","6","DAVO002-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"17","DAVO","2","DAVO002","7","DAVO002-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"18","DAVO","2","DAVO002","8","DAVO002-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"19","DAVO","2","DAVO002","9","DAVO002-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"20","DAVO","2","DAVO002","10","DAVO002-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"21","DAVO","3","DAVO003","1","DAVO003-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"22","DAVO","3","DAVO003","2","DAVO003-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"23","DAVO","3","DAVO003","3","DAVO003-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"24","DAVO","3","DAVO003","4","DAVO003-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"25","DAVO","3","DAVO003","5","DAVO003-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"26","DAVO","3","DAVO003","6","DAVO003-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"27","DAVO","3","DAVO003","7","DAVO003-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"28","DAVO","3","DAVO003","8","DAVO003-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"29","DAVO","3","DAVO003","9","DAVO003-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"30","DAVO","3","DAVO003","10","DAVO003-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"31","DAVO","4","DAVO004","1","DAVO004-1","BFF",37,9,0.0925,8,0.86046511627907,0,1.94668699453881,0,0,4.11111111111111,3,2.20479275922049,3,3,43
"32","DAVO","4","DAVO004","2","DAVO004-2","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"33","DAVO","4","DAVO004","3","DAVO004-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"34","DAVO","4","DAVO004","4","DAVO004-4","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"35","DAVO","4","DAVO004","5","DAVO004-5","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"36","DAVO","4","DAVO004","6","DAVO004-6","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"37","DAVO","4","DAVO004","7","DAVO004-7","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
