Site,site.accession,Date,Plot,Tree_Number,tree.accession,Tree_Height
Burleigh,DBUR,15/02/2019,1,3,DBUR01003,16.2
Burleigh,DBUR,15/02/2019,1,24,DBUR01024,14.1
Burleigh,DBUR,15/02/2019,1,29,DBUR01029,24.3
Burleigh,DBUR,15/02/2019,1,34,DBUR01034,11.1
Burleigh,DBUR,15/02/2019,1,44,DBUR01044,15.3
Burleigh,DBUR,15/02/2019,1,53,DBUR01053,18.5
Burleigh,DBUR,15/02/2019,2,62,DBUR02062,17.5
Burleigh,DBUR,15/02/2019,2,65,DBUR02065,14.2
Burleigh,DBUR,15/02/2019,2,66,DBUR02066,8.5
Burleigh,DBUR,15/02/2019,2,71,DBUR02071,24.4
Burleigh,DBUR,15/02/2019,2,88,DBUR02088,21.6
Burleigh,DBUR,15/02/2019,2,97,DBUR02097,10.1
Burleigh,DBUR,15/02/2019,3,116,DBUR03116,15.7
Burleigh,DBUR,15/02/2019,3,118,DBUR03118,22.8
Burleigh,DBUR,15/02/2019,3,119,DBUR03119,23.1
Burleigh,DBUR,15/02/2019,3,120,DBUR03120,14.9
Burleigh,DBUR,15/02/2019,3,121,DBUR03121,21.6
Burleigh,DBUR,15/02/2019,3,123,DBUR03123,9.5
Burleigh,DBUR,15/02/2019,4,124,DBUR04124,32.1
Burleigh,DBUR,15/02/2019,4,139,DBUR04139,15.2
Burleigh,DBUR,15/02/2019,4,142,DBUR04142,16.4
Burleigh,DBUR,15/02/2019,4,146,DBUR04146,16.2
Burleigh,DBUR,15/02/2019,4,147,DBUR04147,16.5
Burleigh,DBUR,15/02/2019,4,154,DBUR04154,15.4
Burleigh,DBUR,15/02/2019,5,173,DBUR05173,31.4
Burleigh,DBUR,15/02/2019,5,179,DBUR05179,15.8
Burleigh,DBUR,15/02/2019,5,181,DBUR05181,16.4
Burleigh,DBUR,15/02/2019,5,187,DBUR05187,16.8
Burleigh,DBUR,15/02/2019,5,192,DBUR05192,10.3
